Iteration: 0	Best: (28.2082418755946, 89.6334235683545, -693.2995631503871)
Iteration: 400	Best: (31.831119959341926, -100, -4877436.573243496)
Iteration: 800	Best: (-31.831029125477045, 100, -15814559.656371178)
Iteration: 1200	Best: (-31.831029125477045, 100, -15814559.656371178)
Iteration: 1600	Best: (-31.831029125477045, 100, -15814559.656371178)
Iteration: 2000	Best: (-31.831029125477045, 100, -15814559.656371178)
Iteration: 2400	Best: (-31.831029125477045, 100, -15814559.656371178)
Iteration: 2800	Best: (-31.831029125477045, 100, -15814559.656371178)
Iteration: 3200	Best: (-31.831029125477045, 100, -15814559.656371178)
Iteration: 3600	Best: (-31.831029125477045, 100, -15814559.656371178)
Iteration: 4000	Best: (-31.831029125477045, 100, -15814559.656371178)
